City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Moree,AU,-29.4667,149.85,82.4,42,0,5.75,clear sky
81,Tevaitoa,PF,-16.7833,-151.5,80.74,77,100,20.02,light rain
82,Luanda,AO,-8.8368,13.2343,75.2,78,0,2.3,clear sky
83,Tasiilaq,GL,65.6145,-37.6368,21.2,45,75,1.14,broken clouds
84,Calvinia,ZA,-31.4707,19.776,67.01,60,0,3.67,clear sky
85,Kiunga,PG,-6.1219,141.2906,91.27,58,41,1.63,light rain
86,Santa Cruz,BO,-17.8,-63.1667,77.0,88,30,9.22,scattered clouds
87,Mayo,US,38.8876,-76.5119,35.6,93,1,4.25,clear sky
88,Ponta Do Sol,PT,32.6667,-17.1,55.0,64,10,1.99,clear sky
89,Kiboga,UG,0.9161,31.7742,66.87,64,98,1.97,overcast clouds
90,Colonelganj,IN,27.1333,81.7,46.8,71,0,6.31,clear sky
91,Guerrero Negro,MX,27.9769,-114.0611,64.2,33,0,15.19,clear sky
92,Kholtoson,RU,50.2981,103.3097,-2.83,85,61,2.77,snow
93,Adre,TD,13.4667,22.2,58.82,31,0,12.93,clear sky
94,Bluff,NZ,-46.6,168.3333,63.32,57,3,3.27,clear sky
95,Southbridge,US,42.0751,-72.0334,30.0,61,52,4.16,broken clouds
96,Esperance,AU,-33.8667,121.9,69.8,43,86,10.36,overcast clouds
97,Richards Bay,ZA,-28.783,32.0377,71.64,90,1,2.95,clear sky
98,Nanortalik,GL,60.1432,-45.2371,30.69,93,100,4.79,overcast clouds
99,Crestview,US,30.7621,-86.5705,46.4,87,90,9.22,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,80.96,76,83,16.51,broken clouds
101,Hermanus,ZA,-34.4187,19.2345,66.99,91,79,3.0,broken clouds
102,Svetlyy,RU,54.675,20.1347,33.8,75,75,15.66,light snow
103,Hovd,MN,48.0056,91.6419,14.63,73,33,5.68,scattered clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,20,14.97,few clouds
105,Pacific Grove,US,36.6177,-121.9166,53.01,87,20,4.76,mist
106,Karratha,AU,-20.7377,116.8463,99.05,29,0,12.17,clear sky
107,Beidao,CN,34.5686,105.8933,28.63,71,0,3.33,clear sky
108,Gabu,GW,12.2833,-14.2167,70.7,24,99,3.58,overcast clouds
109,Eregli,TR,37.5133,34.0467,51.3,66,100,1.79,overcast clouds
110,Tommot,RU,58.9564,126.2925,-30.26,78,55,1.54,broken clouds
111,Narasannapeta,IN,18.4167,84.05,71.47,60,32,4.03,scattered clouds
112,Dudinka,RU,69.4058,86.1778,-14.87,89,56,6.2,broken clouds
113,Sotaquira,CO,5.7648,-73.2476,49.17,92,22,4.05,few clouds
114,Hambantota,LK,6.1241,81.1185,75.2,100,75,4.61,light rain
115,Ixtapa,MX,20.7,-105.2,69.8,83,20,5.75,few clouds
116,Sokolo,ML,14.7328,-6.1219,67.12,25,0,13.18,clear sky
117,Tiksi,RU,71.6872,128.8694,-36.49,82,77,7.85,broken clouds
118,Lavrentiya,RU,65.5833,-171.0,-11.69,83,100,10.67,overcast clouds
119,San Ramon,US,37.7799,-121.978,54.0,71,1,8.05,clear sky
120,Cape Canaveral,US,28.4058,-80.6048,66.2,88,1,3.44,clear sky
121,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,90,17.27,snow
122,Naze,JP,28.3667,129.4833,51.8,82,75,13.8,light rain
123,Luderitz,NA,-26.6481,15.1594,64.98,80,54,17.43,broken clouds
124,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,100,90,5.75,light rain
125,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,40,17.27,moderate rain
126,Kununurra,AU,-15.7667,128.7333,95.0,55,77,3.44,broken clouds
