City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mananjary,MG,2021-01-12 15:18:11,-21.2167,48.3333,80.8,77,0,8.48
67,Iwanai,JP,2021-01-12 15:18:11,42.9744,140.5089,33.26,93,89,5.14
68,Santa Isabel Do Rio Negro,BR,2021-01-12 15:18:11,-0.4139,-65.0192,88.07,56,3,4.99
69,New Norfolk,AU,2021-01-12 15:18:11,-42.7826,147.0587,55.99,70,55,1.57
70,Butaritari,KI,2021-01-12 15:18:11,3.0707,172.7902,80.62,82,49,20.8
71,Kells,IE,2021-01-12 15:18:12,53.7264,-6.8792,42.8,87,90,5.75
72,Olinda,BR,2021-01-12 15:14:29,-8.0089,-34.8553,84.2,58,40,8.05
73,Kulhudhuffushi,MV,2021-01-12 15:18:12,6.6221,73.07,79.77,79,100,11.03
74,Gaomi,CN,2021-01-12 15:18:12,36.3833,119.7528,37.99,47,0,4.47
75,Georgetown,MY,2021-01-12 15:16:07,5.4112,100.3354,80.6,65,20,5.75
76,Ahipara,NZ,2021-01-12 15:18:13,-35.1667,173.1667,61.34,92,10,5.12
77,Bassano,CA,2021-01-12 15:18:13,50.7834,-112.4685,30.0,93,100,10.36
78,Saint-Francois,FR,2021-01-12 15:18:13,46.4154,3.9054,39.99,93,90,5.75
79,Challapata,BO,2021-01-12 15:18:13,-18.9,-66.7667,59.25,42,85,0.83
80,Ati,TD,2021-01-12 15:18:13,13.2154,18.3353,92.73,10,0,3.85
81,Hobart,AU,2021-01-12 15:18:14,-42.8794,147.3294,55.99,82,90,6.91
82,El Paso,US,2021-01-12 15:15:16,31.8001,-106.2005,28.4,68,1,3.44
83,Eyl,SO,2021-01-12 15:18:14,7.9803,49.8164,76.84,60,0,22.17
84,Vaini,TO,2021-01-12 15:18:14,-21.2,-175.2,78.8,94,75,6.91
85,Hasaki,JP,2021-01-12 15:18:14,35.7333,140.8333,37.4,93,75,5.75
86,Atuona,PF,2021-01-12 15:18:15,-9.8,-139.0333,77.38,79,8,16.24
87,Mbuji-Mayi,CD,2021-01-12 15:18:15,-6.15,23.6,78.8,65,75,13.8
88,Voi,KE,2021-01-12 15:18:15,-3.3945,38.563,78.35,66,27,8.68
89,Dauriya,RU,2021-01-12 15:18:15,49.9333,116.8667,-7.17,88,51,5.5
90,Camacha,PT,2021-01-12 15:18:16,33.0833,-16.3333,62.6,48,40,11.5
91,Norman Wells,CA,2021-01-12 15:18:16,65.282,-126.8329,-14.8,76,1,5.75
92,Chivilcoy,AR,2021-01-12 15:18:16,-34.8957,-60.0167,72.0,32,0,1.99
93,Castro,BR,2021-01-12 15:18:16,-24.7911,-50.0119,78.75,68,74,4.5
