City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
80,Cape Town,-33.9258,18.4232,69.01,73,20,11.5,ZA,few clouds
81,Buchanan,5.8808,-10.0467,75.2,94,40,7.49,LR,scattered clouds
82,Norman Wells,65.282,-126.8329,3.2,85,90,3.44,CA,overcast clouds
83,Mount Isa,-20.7333,139.5,93.2,40,0,4.61,AU,clear sky
84,Omsukchan,62.5333,155.8,-19.7,85,100,2.51,RU,overcast clouds
85,Hasaki,35.7333,140.8333,41.0,93,75,9.22,JP,broken clouds
86,Punta Arenas,-53.15,-70.9167,44.6,76,20,23.02,CL,light rain
87,Jumla,29.2747,82.1838,35.4,49,0,4.27,NP,clear sky
88,Vaini,-21.2,-175.2,86.0,79,75,10.36,TO,broken clouds
89,Acapulco,16.8634,-99.8901,80.6,74,75,4.61,MX,broken clouds
90,Brazzaville,-4.2658,15.2832,77.0,88,40,5.75,CG,scattered clouds
91,General Pico,-35.6566,-63.7568,64.49,26,0,10.31,AR,clear sky
92,Chingirlau,51.095,54.0814,-8.14,90,0,8.46,KZ,clear sky
93,Bethel,41.3712,-73.414,27.0,80,1,2.53,US,clear sky
94,Fortuna,40.5982,-124.1573,57.0,67,1,14.97,US,clear sky
95,Northam,51.0333,-4.2167,48.99,95,100,20.0,GB,overcast clouds
96,Tutoia,-2.7619,-42.2744,80.62,80,99,12.26,BR,overcast clouds
97,Portland,45.5234,-122.6762,48.0,71,90,16.11,US,overcast clouds
98,Bluff,-46.6,168.3333,63.25,57,13,2.1,NZ,few clouds
99,Cranbrook,49.4999,-115.7688,35.6,75,40,11.5,CA,scattered clouds
100,Bredasdorp,-34.5322,20.0403,66.2,94,100,9.22,ZA,light rain
101,Tilichiki,60.4667,166.1,-18.04,86,97,11.23,RU,overcast clouds
102,Khatanga,71.9667,102.5,-18.33,89,100,3.44,RU,overcast clouds
103,Chumikan,54.7183,135.315,-21.51,79,0,17.2,RU,clear sky
104,Angoram,-4.0625,144.0661,91.17,59,100,1.1,PG,overcast clouds
105,Kanalia,39.5,22.8833,55.4,94,90,4.61,GR,overcast clouds
106,Adrar,20.5022,-10.0711,56.28,39,100,11.16,MR,overcast clouds
107,Camocim,-2.9022,-40.8411,77.99,83,66,10.51,BR,broken clouds
108,Ilulissat,69.2167,-51.1,23.0,93,90,3.44,GL,light snow
