Hotel_Name,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
301,Cayenne,GF,75.2,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
303,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
318,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
319,Port Macquarie,AU,86.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
332,Sao Joao Da Barra,BR,76.91,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
343,Rantepao,ID,81.73,light rain,-2.9701,119.8978,Hotel Luta Resort
346,Lakatoro,VU,86.86,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
350,Bengkulu,ID,75.02,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
356,Calabozo,VE,76.3,scattered clouds,8.9242,-67.4293,Hotel Giardini
359,Bojonegoro,ID,83.68,broken clouds,-7.1502,111.8817,Dewarna Hotel & Convention
367,Parkes,AU,88.34,broken clouds,-33.1333,148.1833,Station Motel
370,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
371,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
374,Imbituba,BR,78.8,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
376,Trincomalee,LK,78.28,moderate rain,8.5711,81.2335,Welcombe Hotel
385,Pitimbu,BR,77.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
388,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
409,Mitsamiouli,KM,81.21,clear sky,-11.3847,43.2844,Foyer ADM
418,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
428,Pak Phanang,TH,80.6,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
435,Batuan,PH,77.0,moderate rain,9.7808,124.1484,Shiphaus
439,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
442,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
443,Kavieng,PG,84.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
453,Puerto Escondido,MX,77.0,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
456,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
466,Nabire,ID,87.24,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
473,Martapura,ID,77.0,few clouds,-3.4167,114.85,Montana Hotel Syariah
486,Soe,ID,82.13,clear sky,-9.8607,124.28399999999999,Dena Hotel
487,Parati,BR,76.17,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
491,Primero De Enero,CU,75.2,scattered clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
494,Mirante Do Paranapanema,BR,80.6,clear sky,-22.2919,-51.9064,Estância das Flores
496,Kaeo,NZ,77.0,few clouds,-35.1,173.7833,Bushido Lodge
498,Kieta,PG,81.55,light rain,-6.2167,155.6333,
501,Nelson Bay,AU,89.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
505,Vao,NC,78.21,light rain,-22.6667,167.4833,Hotel Kou-Bugny
516,Juan Diaz,PA,78.8,scattered clouds,8.4667,-80.2833,en panadas de carlitos
518,Mozarlandia,BR,76.35,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
519,Moranbah,AU,83.17,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
526,Isangel,VU,86.0,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
531,Samarai,PG,87.19,broken clouds,-10.6167,150.6667,Nuli Sapi
549,Isla Mujeres,MX,75.99,moderate rain,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
567,Macapa,BR,78.8,few clouds,0.0389,-51.0664,Atalanta Hotel
568,Aquiraz,BR,80.6,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
569,Ilheus,BR,78.8,scattered clouds,-14.7889,-39.0494,Pontal Praia Hotel
571,Trinidad,BO,78.22,overcast clouds,-14.8333,-64.9,Hotel Piesta
